Date,Open,High,Low,Close,Volume,Adjusted Close
2014-12-26,2084.300049,2092.699951,2084.300049,2088.77002,1735230000.0,2088.77002
2014-12-24,2083.25,2087.560059,2081.860107,2081.879883,1416980000.0,2081.879883
2014-12-23,2081.47998,2086.72998,2079.77002,2082.169922,3043950000.0,2082.169922
2014-12-22,2069.280029,2078.76001,2069.280029,2078.540039,3369520000.0,2078.540039
2014-12-19,2061.040039,2077.850098,2061.030029,2070.649902,6465530000.0,2070.649902
2014-12-18,2018.97998,2061.22998,2018.97998,2061.22998,4703380000.0,2061.22998
2014-12-17,1973.77002,2016.75,1973.77002,2012.890015,4942370000.0,2012.890015
2014-12-16,1986.709961,2016.890015,1972.560059,1972.73999,4958680000.0,1972.73999
2014-12-15,2005.030029,2018.689941,1982.26001,1989.630005,4361990000.0,1989.630005
2014-12-12,2030.359985,2032.25,2002.329956,2002.329956,4157650000.0,2002.329956
2014-12-11,2027.920044,2055.530029,2027.920044,2035.329956,3917950000.0,2035.329956
2014-12-10,2058.860107,2058.860107,2024.26001,2026.140015,4114440000.0,2026.140015
2014-12-09,2056.550049,2060.600098,2034.170044,2059.820068,3970150000.0,2059.820068
2014-12-08,2074.840088,2075.780029,2054.27002,2060.310059,3800990000.0,2060.310059
2014-12-05,2072.780029,2079.469971,2070.810059,2075.370117,3419620000.0,2075.370117
2014-12-04,2073.639893,2077.340088,2062.340088,2071.919922,3408340000.0,2071.919922
2014-12-03,2067.449951,2076.280029,2066.649902,2074.330078,3612680000.0,2074.330078
2014-12-02,2053.77002,2068.77002,2053.77002,2066.550049,3686650000.0,2066.550049
2014-12-01,2065.780029,2065.780029,2049.570068,2053.439941,4159010000.0,2053.439941
2014-11-28,2074.780029,2075.76001,2065.060059,2067.560059,2504640000.0,2067.560059
2014-11-26,2067.360107,2073.290039,2066.620117,2072.830078,2745260000.0,2072.830078
2014-11-25,2070.149902,2074.209961,2064.75,2067.030029,3392940000.0,2067.030029
2014-11-24,2065.070068,2070.169922,2065.070068,2069.409912,3128060000.0,2069.409912
2014-11-21,2057.459961,2071.459961,2056.75,2063.5,3916420000.0,2063.5
2014-11-20,2045.869995,2053.840088,2040.48999,2052.75,3128290000.0,2052.75
2014-11-19,2051.159912,2052.139893,2040.369995,2048.719971,3390850000.0,2048.719971
2014-11-18,2041.47998,2056.080078,2041.47998,2051.800049,3416190000.0,2051.800049
2014-11-17,2038.290039,2043.069946,2034.459961,2041.319946,3152890000.0,2041.319946
2014-11-14,2039.73999,2042.219971,2035.199951,2039.819946,3227130000.0,2039.819946
2014-11-13,2039.209961,2046.180054,2030.439941,2039.329956,3455270000.0,2039.329956
2014-11-12,2037.75,2040.329956,2031.949951,2038.25,3246650000.0,2038.25
2014-11-11,2038.199951,2041.280029,2035.280029,2039.680054,2958320000.0,2039.680054
2014-11-10,2032.01001,2038.699951,2030.170044,2038.26001,3284940000.0,2038.26001
2014-11-07,2032.359985,2034.26001,2025.069946,2031.920044,3704280000.0,2031.920044
2014-11-06,2023.329956,2031.609985,2015.859985,2031.209961,3669770000.0,2031.209961
2014-11-05,2015.290039,2023.77002,2014.420044,2023.569946,3766590000.0,2023.569946
2014-11-04,2015.810059,2015.97998,2001.01001,2012.099976,3956260000.0,2012.099976
2014-11-03,2018.209961,2024.459961,2013.680054,2017.810059,3555440000.0,2017.810059
2014-10-31,2001.199951,2018.189941,2001.199951,2018.050049,4292290000.0,2018.050049
2014-10-30,1979.48999,1999.400024,1974.75,1994.650024,3586150000.0,1994.650024
2014-10-29,1983.290039,1991.400024,1969.040039,1982.300049,3740350000.0,1982.300049
2014-10-28,1964.140015,1985.050049,1964.140015,1985.050049,3653260000.0,1985.050049
2014-10-27,1962.969971,1964.640015,1951.369995,1961.630005,3538860000.0,1961.630005
2014-10-24,1951.589966,1965.27002,1946.27002,1964.579956,3078380000.0,1964.579956
2014-10-23,1931.02002,1961.949951,1931.02002,1950.819946,3789250000.0,1950.819946
2014-10-22,1941.290039,1949.310059,1926.829956,1927.109985,3761930000.0,1927.109985
2014-10-21,1909.380005,1942.449951,1909.380005,1941.280029,3987090000.0,1941.280029
2014-10-20,1885.619995,1905.030029,1882.300049,1904.01001,3331210000.0,1904.01001
2014-10-17,1864.910034,1898.160034,1864.910034,1886.76001,4482120000.0,1886.76001
2014-10-16,1855.949951,1876.01001,1835.02002,1862.76001,5073150000.0,1862.76001
